"year","artist","title","streams"
2019,"Lil Nas X","Old Town Road",1001658000
2019,"Post Malone & Swae Lee","Sunflower",800726000
2019,"Post Malone","Wow.",644384000
2019,"Billie Eilish","bad guy",595891000
2019,"J. Cole","Middle Child",578272000
2019,"Ariana Grande","7 Rings",575880000
2019,"Lil Tecca","Ransom",536291000
2019,"Lizzo","Truth Hurts",511930000
2019,"Meek Mill Feat. Drake","Going Bad",495391000
2019,"Halsey","Without Me",478006000
2020,"Roddy Ricch","The Box",920400000
2020,"The Weeknd",“Blinding Lights”,691500000
2020,"DaBaby Feat. Roddy Ricch","Rockstar",674000000
2020,"Future Feat. Drake",“Life Is Good”,651300000
2020,"Jack Harlow","Whats Poppin",643700000
2020,"Cardi B Feat. Megan Thee Stallion",“WAP”,492200000
2020,"Megan Thee Stallion Feat. Beyoncé",“Savage (Remix)”,492100000
2020,"Lil Mosey",“Blueberry Faygo”,490700000
2020,"Post Malone",“Circles”,456800000
2020,"Saint Jhn",“Roses”,454800000
