"GENRE","TOTAL VOLUME","PHYSICAL ALBUM SALES","DIGITAL ALBUM SALES","DIGITAL SONG SALES","TOTAL ON-DEMAND STREAMS","ON-DEMAND AUDIO STREAMS","ON-DEMAND VIDEO STREAMS"
"R&B/HIP-HOP",28.2,12.3,16.2,20.0,31.1,30.7,33.9
"ROCK",19.5,44.0,30.8,21.4,15.6,16.3,11.4
"POP",12.9,10.0,10.9,17.8,13.1,13.1,13.5
"COUNTRY",7.9,9.3,7.8,11.9,7.1,7.5,4.6
"LATIN",4.7,0.6,1.3,2.7,6.0,5.3,10.5
"DANCE/ELECTRONIC",3.2,1.3,2.1,3.9,3.3,3.4,2.9
"CHRISTIAN/GOSPEL",1.9,2.2,2.9,3.5,1.8,1.7,1.8
"WORLD MUSIC",1.8,4.3,1.9,2.1,1.6,1.5,2.5
"CHILDREN",1.3,1.6,1.6,0.8,1.2,1.2,1.3
"JAZZ",1.1,3.2,2.3,1.1,0.7,0.8,0.3
"CLASSICAL",1.0,1.9,2.5,0.7,0.8,0.8,0.4
"R&B/Hip-Hop",27.7,10.5,15.9,20.5,30.7,31.2,29.6
"Rock",19.8,42.2,32.4,22.3,14.7,17.1,10.2
"Pop",14.0,11.0,11.0,18.8,14.7,13.7,16.5
"Country",7.4,10.4,8.1,11.7,5.9,7.2,3.5
"Latin",5.3,1.0,1.0,2.8,8.2,4.8,14.5
"Dance/Electronic",3.6,1.0,2.2,4.0,3.9,3.8,4.1
"Christian/Gospel",2.3,4.8,3.2,3.7,1.8,1.9,1.6
"World Music",1.5,2.3,1.7,1.5,1.6,1.3,2.3
"Holiday/Seasonal",1.4,3.3,1.8,1.0,1.0,1.1,0.8
"Children",1.2,2.1,1.9,0.9,1.1,1.0,1.3
"Jazz",1.1,2.7,2.0,0.9,0.7,0.9,0.3
"Classical",1.0,2.0,2.5,0.7,0.7,0.9,0.5
