"year","artist","title","streams"
2019,"Lil Nas X","Old Town Road",1497950000
2019,"Pinkfong","Baby Shark",783943000
2019,"Billie Eilish","bad guy",698181000
2019,"Post Malone & Swae Lee","Sunflower",674102000
2019,"Ariana Grande","7 Rings",553887000
2019,"Travis Scott","Sicko Mode",532728000
2019,"Marshmello & Bastille","Happier",498511000
2019,"Dr. Dre Feat. Snoop Dogg","The Next Episode",484782000
2019,"Halsey","Without Me",461987000
2019,"Blueface","Thotiana",442395000
2020,"Roddy Ricch","The Box",399200000
2020,"Future Feat. Drake",“Life Is Good”,383600000
2020,"Cardi B Feat. Megan Thee Stallion",“WAP”,240500000
2020,"Pinkfong",“Baby Shark”,207900000
2020,"DaBaby Feat. Roddy Ricch",“Rockstar”,190000000
2020,"Lil Nas X Feat. Billy Ray Cyrus",“Old Town Road”,168400000
2020,"Eminem Feat. Juice WRLD",“Godzilla”,161300000
2020,"Jack Harlow","Whats Poppin",145100000
2020,"Tones And I",“Dance Monkey”,143500000
2020,"6ix9ine",“Gooba”,132800000
